Filename,Upper left,Lower left,Upper right,Lower right,Center
adb646fe-f252-4330-9bba-17fce334f374_left.tif,"-111.9750018,33.0757477","-111.9750018,33.0757377","-111.9749930,33.0757477","-111.9749930,33.0757377","-111.9749974,33.0757427"
a23b79f0-559c-4fda-bdbf-77db0bd655f9_left.tif,"-111.9749962,33.0757477","-111.9749962,33.0757376","-111.9749874,33.0757477","-111.9749874,33.0757376","-111.9749918,33.0757426"
db8bb05f-d248-49a3-b2cc-303d33635f26_left.tif,"-111.9749908,33.0757477","-111.9749908,33.0757376","-111.9749820,33.0757477","-111.9749820,33.0757376","-111.9749864,33.0757426"
c2b2937f-e358-4201-8439-8f01d4b5bc2e_left.tif,"-111.9749854,33.0757477","-111.9749854,33.0757376","-111.9749766,33.0757477","-111.9749766,33.0757376","-111.9749810,33.0757426"
e31527e5-73d3-43a8-bf02-851cd4c934af_left.tif,"-111.9749799,33.0757477","-111.9749799,33.0757376","-111.9749711,33.0757477","-111.9749711,33.0757376","-111.9749755,33.0757426"
379d3eb6-2824-493e-a150-047ee92ec225_left.tif,"-111.9749747,33.0757477","-111.9749747,33.0757376","-111.9749658,33.0757477","-111.9749658,33.0757376","-111.9749703,33.0757426"
456018bf-c40e-4c44-94df-b3861a6d0acb_left.tif,"-111.9749692,33.0757477","-111.9749692,33.0757376","-111.9749603,33.0757477","-111.9749603,33.0757376","-111.9749648,33.0757427"
292a1e55-aefc-443c-b078-2a83f002676b_left.tif,"-111.9749638,33.0757477","-111.9749638,33.0757376","-111.9749550,33.0757477","-111.9749550,33.0757376","-111.9749594,33.0757427"
09580319-f602-46da-880d-4068bf1165f5_left.tif,"-111.9749582,33.0757475","-111.9749582,33.0757374","-111.9749494,33.0757475","-111.9749494,33.0757374","-111.9749538,33.0757425"
4b69a00e-0362-4633-b57c-83405e7fbdd9_left.tif,"-111.9749526,33.0757475","-111.9749526,33.0757374","-111.9749438,33.0757475","-111.9749438,33.0757374","-111.9749482,33.0757425"
246c3091-1af3-4210-a3e2-f98ef07911f3_left.tif,"-111.9749471,33.0757476","-111.9749471,33.0757375","-111.9749383,33.0757476","-111.9749383,33.0757375","-111.9749427,33.0757426"
d129da89-ce47-4e63-8798-3f0aa3ecc9cb_left.tif,"-111.9749415,33.0757476","-111.9749415,33.0757376","-111.9749326,33.0757476","-111.9749326,33.0757376","-111.9749371,33.0757426"
c8bfedd1-c2e1-497d-b2a4-394ce9f5e908_left.tif,"-111.9749366,33.0757476","-111.9749366,33.0757376","-111.9749278,33.0757476","-111.9749278,33.0757376","-111.9749322,33.0757426"
56a4b6bb-0714-4c30-90ad-3e1b6025a947_left.tif,"-111.9749304,33.0757478","-111.9749304,33.0757378","-111.9749215,33.0757478","-111.9749215,33.0757378","-111.9749259,33.0757428"
85a29efe-9fb1-46a6-88fc-361fb18cbe0f_left.tif,"-111.9749249,33.0757478","-111.9749249,33.0757378","-111.9749161,33.0757478","-111.9749161,33.0757378","-111.9749205,33.0757428"
ada7bbc4-d5b5-46f4-83ff-8559e35a3b50_left.tif,"-111.9749193,33.0757478","-111.9749193,33.0757378","-111.9749105,33.0757478","-111.9749105,33.0757378","-111.9749149,33.0757428"
a729b248-7b41-4eb2-8fa2-0eb028996088_left.tif,"-111.9749140,33.0757478","-111.9749140,33.0757377","-111.9749051,33.0757478","-111.9749051,33.0757377","-111.9749096,33.0757427"
a8824b71-dee4-4312-bc66-264c19e70e50_left.tif,"-111.9749084,33.0757478","-111.9749084,33.0757377","-111.9748996,33.0757478","-111.9748996,33.0757377","-111.9749040,33.0757427"
e92fdb2b-f0b9-4cb1-a489-fdc193d66331_left.tif,"-111.9749029,33.0757477","-111.9749029,33.0757376","-111.9748941,33.0757477","-111.9748941,33.0757376","-111.9748985,33.0757426"
56287405-4538-40a0-9eb6-9dc838a334fb_left.tif,"-111.9748973,33.0757478","-111.9748973,33.0757377","-111.9748885,33.0757478","-111.9748885,33.0757377","-111.9748929,33.0757427"
a44e1a24-5fd8-4ec2-b7b7-bfa4eaadd6bc_left.tif,"-111.9748924,33.0757478","-111.9748924,33.0757377","-111.9748836,33.0757478","-111.9748836,33.0757377","-111.9748880,33.0757427"
56e4e008-6d48-41d6-b3bb-1a006667d39b_left.tif,"-111.9748868,33.0757477","-111.9748868,33.0757376","-111.9748780,33.0757477","-111.9748780,33.0757376","-111.9748824,33.0757427"
14b0c74c-c4be-4722-a3e7-3774de10bd64_left.tif,"-111.9748813,33.0757477","-111.9748813,33.0757376","-111.9748725,33.0757477","-111.9748725,33.0757376","-111.9748769,33.0757427"
18f37428-f808-4076-b11f-7daaa4f15ead_left.tif,"-111.9748760,33.0757478","-111.9748760,33.0757377","-111.9748672,33.0757478","-111.9748672,33.0757377","-111.9748716,33.0757428"
78c55989-271c-46cd-840e-b3d940e55240_left.tif,"-111.9748704,33.0757477","-111.9748704,33.0757376","-111.9748616,33.0757477","-111.9748616,33.0757376","-111.9748660,33.0757427"
2b1c5a1c-2003-4713-920f-ebaee35072ef_left.tif,"-111.9748653,33.0757477","-111.9748653,33.0757376","-111.9748565,33.0757477","-111.9748565,33.0757376","-111.9748609,33.0757427"
d9910040-2d54-4465-87fa-f7b9ba026e68_left.tif,"-111.9748601,33.0757477","-111.9748601,33.0757377","-111.9748513,33.0757477","-111.9748513,33.0757377","-111.9748557,33.0757427"
b9ff0b3b-0fc3-4a6b-9286-d4d355bb58dd_left.tif,"-111.9748554,33.0757477","-111.9748554,33.0757377","-111.9748466,33.0757477","-111.9748466,33.0757377","-111.9748510,33.0757427"
b0eae4db-8a7c-494e-935e-dfc802fc48bc_left.tif,"-111.9748498,33.0757478","-111.9748498,33.0757378","-111.9748409,33.0757478","-111.9748409,33.0757378","-111.9748454,33.0757428"
23b01a02-da05-4cc3-8f70-2c10732b16bf_left.tif,"-111.9748440,33.0757478","-111.9748440,33.0757378","-111.9748352,33.0757478","-111.9748352,33.0757378","-111.9748396,33.0757428"
ff25d70b-a275-40a9-b0d3-7cd22f13abb5_left.tif,"-111.9748387,33.0757478","-111.9748387,33.0757378","-111.9748299,33.0757478","-111.9748299,33.0757378","-111.9748343,33.0757428"
99865c58-5237-4449-828f-24cc3856702c_left.tif,"-111.9748330,33.0757478","-111.9748330,33.0757377","-111.9748242,33.0757478","-111.9748242,33.0757377","-111.9748286,33.0757427"
51827615-b0b3-45bf-b458-f56af9ca875b_left.tif,"-111.9748284,33.0757481","-111.9748284,33.0757380","-111.9748195,33.0757481","-111.9748195,33.0757380","-111.9748240,33.0757430"
95073ff5-9009-4c87-80e9-e3da8b13f441_left.tif,"-111.9748225,33.0757481","-111.9748225,33.0757380","-111.9748137,33.0757481","-111.9748137,33.0757380","-111.9748181,33.0757430"
2cfa7e1a-3794-4b90-acb4-5aa9b51252e9_left.tif,"-111.9748166,33.0757481","-111.9748166,33.0757380","-111.9748077,33.0757481","-111.9748077,33.0757380","-111.9748121,33.0757430"
b49194ee-c997-4a26-a9ac-993b52082ad4_left.tif,"-111.9750540,33.0757568","-111.9750540,33.0757467","-111.9750452,33.0757568","-111.9750452,33.0757467","-111.9750496,33.0757518"
18b420fc-42e0-4f1f-be0e-8ea783954d0a_left.tif,"-111.9750490,33.0757569","-111.9750490,33.0757468","-111.9750402,33.0757569","-111.9750402,33.0757468","-111.9750446,33.0757519"
a552df9f-b53e-4b78-ac94-0a8a76c829b9_left.tif,"-111.9750438,33.0757569","-111.9750438,33.0757468","-111.9750350,33.0757569","-111.9750350,33.0757468","-111.9750394,33.0757519"
31dd5e92-4cc3-4e50-a732-c307209fa198_left.tif,"-111.9750384,33.0757569","-111.9750384,33.0757469","-111.9750296,33.0757569","-111.9750296,33.0757469","-111.9750340,33.0757519"
3c57884a-cb98-4a3f-a8d9-a32b433b54a2_left.tif,"-111.9750328,33.0757569","-111.9750328,33.0757469","-111.9750240,33.0757569","-111.9750240,33.0757469","-111.9750284,33.0757519"
27f91860-6b7e-4ea3-b2d7-3817b778d0d1_left.tif,"-111.9750276,33.0757569","-111.9750276,33.0757469","-111.9750187,33.0757569","-111.9750187,33.0757469","-111.9750232,33.0757519"
1dd27e99-cd43-432c-9b3a-612537497aef_left.tif,"-111.9750220,33.0757569","-111.9750220,33.0757469","-111.9750132,33.0757569","-111.9750132,33.0757469","-111.9750176,33.0757519"
0e5c6d78-6876-4d5a-8d89-8d9c45b582e9_left.tif,"-111.9750162,33.0757570","-111.9750162,33.0757469","-111.9750074,33.0757570","-111.9750074,33.0757469","-111.9750118,33.0757519"
9595b1ac-ab9d-48ea-85ad-2b975ab11079_left.tif,"-111.9750111,33.0757570","-111.9750111,33.0757469","-111.9750023,33.0757570","-111.9750023,33.0757469","-111.9750067,33.0757519"
758e03de-762c-48f8-9016-cfcf7b816d33_left.tif,"-111.9750059,33.0757570","-111.9750059,33.0757469","-111.9749970,33.0757570","-111.9749970,33.0757469","-111.9750014,33.0757519"
00d18202-d5b2-42b5-99d4-d28877237845_left.tif,"-111.9750004,33.0757570","-111.9750004,33.0757469","-111.9749915,33.0757570","-111.9749915,33.0757469","-111.9749960,33.0757519"
